StationID,Name,Intervals,Year Start,Year End,Province
5310,ARTHABASKA,"['Daily', 'Monthly']",1969,2024,QC
5575,ARUNDEL,"['Daily', 'Monthly']",1963,2024,QC
5889,BAGOTVILLE A,"['Hourly', 'Daily', 'Monthly']",1953,2024,QC
55359,BAGOTVILLE AIRPORT,"['Hourly', 'Daily']",2022,2024,QC
30173,BAIE-COMEAU A,"['Hourly', 'Daily', 'Monthly']",2004,2024,QC
5977,BARRAGE TEMISCAMINGUE,"['Hourly', 'Daily', 'Monthly']",1997,2024,QC
26777,BEAUCEVILLE,"['Hourly', 'Daily']",1994,2024,QC
27803,BEAUPORT,"['Hourly', 'Daily']",1999,2024,QC
10874,BONNARD 1,"['Hourly', 'Daily']",1994,2024,QC
5322,BONSECOURS,"['Daily', 'Monthly']",1967,2024,QC
5327,BROMPTONVILLE,"['Daily', 'Monthly']",1957,2024,QC
5779,CAP DES ROSIERS,"['Daily', 'Monthly']",1973,2024,QC
27195,CAP-CHAT,"['Hourly', 'Daily']",1996,2024,QC
9001,CAP-D'ESPOIR,"['Hourly', 'Daily']",1994,2024,QC
8999,CAP-MADELEINE,"['Hourly', 'Daily']",1994,2024,QC
10963,CAP-ROUGE,"['Hourly', 'Daily']",1994,2024,QC
10869,CAP-TOURMENTE,"['Hourly', 'Daily']",1994,2024,QC
5672,CAPE WHITTLE,"['Hourly', 'Daily', 'Monthly']",1994,2024,QC
54558,CAUSAPSCAL AIRPORT,"['Hourly', 'Daily']",2017,2024,QC
26797,CHAMOUCHOUANE,"['Hourly', 'Daily']",1994,2024,QC
27443,CHAPAIS,"['Hourly', 'Daily']",2001,2024,QC
27442,CHARLEVOIX (MRC),"['Hourly', 'Daily']",1997,2024,QC
5584,CHARTERIS,"['Daily', 'Monthly']",1980,2024,QC
5585,CHELSEA,"['Daily', 'Monthly']",1927,2024,QC
5586,CHENEVILLE,"['Daily', 'Monthly']",1964,2024,QC
8456,CHEVERY,"['Hourly', 'Daily']",1994,2024,QC
53019,CHIBOUGAMAU CHAPAIS A,"['Hourly', 'Daily']",2014,2024,QC
54599,CHIBOUGAMAU-CHAPAIS,"['Hourly', 'Daily']",2017,2024,QC
55459,CHICOUTIMI ST-HONORE A,"['Hourly', 'Daily']",2023,2024,QC
5903,CHUTE-DES-PASSES,"['Hourly', 'Daily', 'Monthly']",1994,2024,QC
5339,COATICOOK,"['Daily', 'Monthly']",1949,2024,QC
5217,COTEAU DU LAC,"['Daily', 'Monthly']",1966,2024,QC
5345,DANVILLE,"['Daily', 'Monthly']",1871,2024,QC
5348,DRUMMONDVILLE,"['Daily', 'Monthly']",1913,2024,QC
5358,FARNHAM,"['Daily', 'Monthly']",1917,2024,QC
5361,FLEURY,"['Daily', 'Monthly']",1967,2024,QC
32413,FORET MONTMORENCY RCS,"['Hourly', 'Daily']",2003,2024,QC
5362,FORTIERVILLE,"['Daily', 'Monthly']",1973,2024,QC
10815,FRELIGHSBURG,"['Hourly', 'Daily']",1994,2024,QC
54918,GASPE AIRPORT,"['Hourly', 'Daily']",2019,2024,QC
42013,GRANBY,"['Hourly', 'Daily']",2003,2024,QC
54698,GRANDES-BERGERONNES,"['Hourly', 'Daily']",2018,2024,QC
48970,HAVRE ST. PIERRE,"['Hourly', 'Daily']",2010,2024,QC
5373,HEMMINGFORD FOUR WINDS,"['Daily', 'Monthly']",1960,2024,QC
10247,ILE AUX GRUES,"['Hourly', 'Daily']",1994,2024,QC
10937,ILE AUX PERROQUETS,"['Hourly', 'Daily']",1994,2024,QC
10938,ILE BICQUETTE,"['Hourly', 'Daily']",1994,2024,QC
8989,ILE D'ORLEANS,"['Hourly', 'Daily']",1994,2024,QC
8674,ILE ROUGE,"['Hourly', 'Daily']",1994,2024,QC
10763,ILES DE LA MADELEINE,"['Hourly', 'Daily']",1993,2024,QC
30166,INUKJUAK,"['Hourly', 'Daily']",2008,2024,QC
48974,INUKJUAK A,"['Hourly', 'Daily']",2011,2024,QC
5911,JONQUIERE,"['Hourly', 'Daily', 'Monthly']",1994,2024,QC
52179,KUUJJUAQ A,"['Hourly', 'Daily']",2014,2024,QC
53978,KUUJJUARAPIK,"['Hourly', 'Daily']",2015,2024,QC
52201,KUUJJUARAPIK A,"['Hourly', 'Daily']",2014,2024,QC
10843,L'ACADIE,"['Hourly', 'Daily']",1994,2024,QC
5237,L'ASSOMPTION,"['Hourly', 'Daily', 'Monthly']",1994,2024,QC
10871,L'ETAPE,"['Hourly', 'Daily', 'Monthly']",1994,2024,QC
27315,LA BAIE,"['Hourly', 'Daily']",1997,2024,QC
49648,LA GRANDE 4 A,"['Hourly', 'Daily']",2011,2024,QC
44204,LA GRANDE IV,"['Hourly', 'Daily']",2005,2024,QC
50822,LA GRANDE RIVIERE A,"['Hourly', 'Daily']",2012,2024,QC
5599,LA MACAZA,"['Daily', 'Monthly']",1976,2024,QC
26893,LA POCATIERE,"['Hourly', 'Daily']",1996,2024,QC
10875,LA TUQUE,"['Hourly', 'Daily']",1994,2024,QC
5203,LAC AUX SABLES,"['Daily', 'Monthly']",1964,2024,QC
26778,LAC BENOIT,"['Hourly', 'Daily']",1994,2024,QC
6005,LAC BERRY,"['Daily', 'Monthly']",1973,2024,QC
8404,LAC EON,"['Hourly', 'Daily']",1994,2024,QC
5803,LAC HUMQUI,"['Daily', 'Monthly']",1972,2024,QC
