StationID,Name,Intervals,Year Start,Year End,Province
3717,ARBORG,"['Daily', 'Monthly']",1951,2016,MB
3463,BALDUR,"['Daily', 'Monthly']",1962,2024,MB
3775,BEAVER,"['Daily', 'Monthly']",1973,2024,MB
3466,BELMONT,"['Daily', 'Monthly']",1984,2016,MB
53321,BERENS RIVER A,['Hourly'],2015,2024,MB
53318,BERENS RIVER A,"['Hourly', 'Daily']",2015,2024,MB
26964,BERENS RIVER A,['Hourly'],1995,2015,MB
3721,BERENS RIVER CS,"['Hourly', 'Daily', 'Monthly']",1985,2024,MB
3470,BOGGY CREEK,"['Daily', 'Monthly']",1977,2014,MB
50821,BRANDON A,"['Hourly', 'Daily']",2012,2024,MB
49909,BRANDON RCS,"['Hourly', 'Daily']",2012,2024,MB
27741,CARBERRY CS,"['Hourly', 'Daily', 'Monthly']",1994,2024,MB
3582,CARMAN,"['Daily', 'Monthly']",1964,2014,MB
26857,CARMAN U OF M CS,"['Hourly', 'Daily', 'Monthly']",1995,2024,MB
48969,CHURCHILL A,"['Hourly', 'Daily']",2010,2024,MB
50148,CHURCHILL A,"['Hourly', 'Daily']",2012,2024,MB
44244,CHURCHILL CLIMATE,"['Hourly', 'Daily', 'Monthly']",2005,2024,MB
10745,CHURCHILL UA,"['Daily', 'Monthly']",2000,2015,MB
3766,COWAN,"['Daily', 'Monthly']",1984,2023,MB
3875,CROSS LAKE JENPEG,"['Hourly', 'Daily', 'Monthly']",2017,2018,MB
54658,CROSS LAKE JENPEG 2,"['Hourly', 'Daily']",2017,2024,MB
48128,CYPRESS RIVER RCS,"['Hourly', 'Daily']",2009,2024,MB
48868,DAUPHIN,"['Hourly', 'Daily']",2010,2024,MB
26866,DAUPHIN CS,"['Hourly', 'Daily', 'Monthly']",1995,2024,MB
29886,DEERWOOD RCS,"['Hourly', 'Daily', 'Monthly']",2000,2024,MB
3460,ELKHORN 2 EAST,"['Daily', 'Monthly']",1987,2024,MB
