StationID,Name,Intervals,Year Start,Year End,Province
10113,ARGENTIA (AUT),"['Hourly', 'Daily', 'Monthly']",1987,2024,NL
6561,BADGER (AUT),"['Hourly', 'Daily', 'Monthly']",1986,2024,NL
6567,BAY D'ESPOIR GEN STN,"['Daily', 'Monthly']",1967,2019,NL
55298,BERRY HILL,"['Hourly', 'Daily']",2021,2024,NL
54780,BIG BAY,"['Hourly', 'Daily']",2021,2023,NL
45047,BONAVISTA,"['Hourly', 'Daily', 'Monthly']",2006,2024,NL
6578,BRANCH,"['Daily', 'Monthly']",1983,2017,NL
27617,BROWNSDALE,"['Daily', 'Monthly']",1998,2015,NL
45287,BURGEO NL,"['Hourly', 'Daily', 'Monthly']",2006,2024,NL
6586,BURNT POND,"['Daily', 'Monthly']",1972,2024,NL
6555,BUTLERVILLE,"['Daily', 'Monthly']",1988,2019,NL
10836,CAPE KAKKIVIAK,"['Hourly', 'Daily']",1994,2018,NL
10841,CAPE KIGLAPAIT,"['Hourly', 'Daily']",1994,2017,NL
6590,CAPE RACE (AUT),"['Hourly', 'Daily', 'Monthly']",1953,2024,NL
6773,CARTWRIGHT,"['Hourly', 'Daily', 'Monthly']",1953,2015,NL
53578,CARTWRIGHT A,"['Hourly', 'Daily']",2015,2018,NL
53958,CARTWRIGHT A,"['Hourly', 'Daily']",2015,2024,NL
6599,CHARLESTON,"['Daily', 'Monthly']",1989,2019,NL
10887,CHURCHILL FALLS,"['Hourly', 'Daily', 'Monthly']",1994,2021,NL
55518,CHURCHILL FALLS,"['Hourly', 'Daily']",2023,2024,NL
49629,CHURCHILL FALLS A,"['Hourly', 'Daily']",2011,2024,NL
6601,CLARENVILLE,"['Daily', 'Monthly']",1982,2016,NL
6609,CORMACK,"['Daily', 'Monthly']",1980,2016,NL
50677,CORMACK RCS,"['Hourly', 'Daily']",2012,2024,NL
6610,CORNER BROOK,"['Daily', 'Monthly']",1933,2024,NL
6933,CORNER BROOK,"['Hourly', 'Daily', 'Monthly']",1994,2024,NL
6612,COW HEAD,"['Daily', 'Monthly']",1982,2019,NL
54638,DANIEL'S HARBOUR,"['Hourly', 'Daily']",2018,2024,NL
6613,DANIELS HARBOUR,"['Hourly', 'Daily', 'Monthly']",1953,2018,NL
6614,DEER LAKE,"['Daily', 'Monthly']",1933,2024,NL
50068,DEER LAKE A,"['Hourly', 'Daily']",2012,2024,NL
10251,ENGLEE (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2024,NL
9034,FEROLLE POINT (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2024,NL
6630,GALLANTS,"['Daily', 'Monthly']",1982,2016,NL
30346,GANDER AIRPORT CS,"['Hourly', 'Daily', 'Monthly']",2005,2024,NL
50088,GANDER INTL A,"['Hourly', 'Daily']",2012,2024,NL
6777,GOOSE BAY A,"['Hourly', 'Daily', 'Monthly']",1953,2024,NL
10818,GRATES COVE,"['Hourly', 'Daily', 'Monthly']",1994,2024,NL
55078,HAPPY VALLEY GOOSE BAY,"['Hourly', 'Daily']",2020,2024,NL
6649,HARBOUR BRETON,"['Daily', 'Monthly']",1983,2021,NL
6658,HOLYROOD GEN STN,"['Daily', 'Monthly']",1970,2016,NL
6781,HOPEDALE (AUT),"['Hourly', 'Daily', 'Monthly']",1953,2024,NL
6662,INDIAN BAY B.B.,"['Daily', 'Monthly']",1987,2019,NL
6668,LA SCIE,"['Hourly', 'Daily', 'Monthly']",1984,2024,NL
6669,LETHBRIDGE,"['Daily', 'Monthly']",1954,2024,NL
27286,LONG POND,['Hourly'],1997,2015,NL
6551,LOURDES,"['Daily', 'Monthly']",1990,2015,NL
6553,MAIN BROOK,"['Daily', 'Monthly']",1983,2019,NL
53505,MAKKOVIK A,['Hourly'],2015,2024,NL
6778,MAKKOVIK A,"['Hourly', 'Daily', 'Monthly']",1985,2015,NL
53506,MAKKOVIK A,"['Hourly', 'Daily']",2015,2024,NL
10909,MARTICOT ISLAND,"['Hourly', 'Daily']",1994,2024,NL
10227,MARY'S HARBOUR,"['Hourly', 'Daily', 'Monthly']",1994,2014,NL
51918,MARY'S HARBOUR A,"['Hourly', 'Daily']",2013,2024,NL
51999,MARY'S HARBOUR A,['Hourly'],2013,2015,NL
27228,MCIVER'S,"['Daily', 'Monthly']",1996,2019,NL
6677,MIDDLE ARM,"['Daily', 'Monthly']",1988,2021,NL
50678,MILLERTOWN RCS,"['Hourly', 'Daily']",2013,2024,NL
10813,NAIN,"['Hourly', 'Daily', 'Monthly']",1994,2024,NL
53507,NAIN A,"['Hourly', 'Daily']",2015,2024,NL
6787,NAIN A,"['Hourly', 'Daily', 'Monthly']",1984,2015,NL
53502,NAIN A,"['Hourly', 'Daily']",2015,2024,NL
6688,PLUM POINT,"['Daily', 'Monthly']",1972,2019,NL
6689,POINT LEAMINGTON,"['Daily', 'Monthly']",1982,2017,NL
10817,POOLS ISLAND,"['Hourly', 'Daily']",1994,2024,NL
54640,PORT AUX BASQUES,"['Hourly', 'Daily']",2017,2024,NL
6693,PORT AUX BASQUES,"['Hourly', 'Daily', 'Monthly']",1966,2017,NL
6699,PORT UNION,"['Daily', 'Monthly']",1966,2014,NL
6938,ROCKY HARBOUR CS,"['Hourly', 'Daily', 'Monthly']",1999,2021,NL
6797,SAGLEK,"['Hourly', 'Daily', 'Monthly']",1989,2023,NL
8991,SAGONA ISLAND,"['Hourly', 'Daily']",1994,2024,NL
6734,SOPS ARM WHITE BAY,"['Daily', 'Monthly']",1979,2021,NL
6736,SOUTH BROOK PASADENA,"['Daily', 'Monthly']",1985,2017,NL
55398,ST ALBAN'S,"['Hourly', 'Daily']",2022,2024,NL
27205,ST ANTHONY,"['Hourly', 'Daily', 'Monthly']",1996,2024,NL
10228,ST ANTHONY A,"['Hourly', 'Daily', 'Monthly']",1987,2009,NL
47507,ST ANTHONY AWOS,"['Hourly', 'Daily']",2008,2009,NL
48871,ST JOHNS WEST CLIMATE,"['Hourly', 'Daily']",2010,2024,NL
45567,ST LAWRENCE,"['Hourly', 'Daily', 'Monthly']",2006,2024,NL
48348,ST. ANTHONY A,"['Hourly', 'Daily']",2009,2024,NL
50089,ST. JOHN'S INTL A,"['Hourly', 'Daily']",2012,2024,NL
6740,STEPHENVILLE A,"['Hourly', 'Daily', 'Monthly']",1953,2014,NL
52759,STEPHENVILLE A,"['Hourly', 'Daily']",2014,2024,NL
47607,STEPHENVILLE RCS,"['Hourly', 'Daily']",2008,2024,NL
6743,SWIFT CURRENT,"['Daily', 'Monthly']",1984,2019,NL
27142,TERRA NOVA NAT PARK CS,"['Hourly', 'Daily', 'Monthly']",1999,2024,NL
10837,TUKIALIK BAY,"['Hourly', 'Daily']",1994,2018,NL
7083,TWILLINGATE (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2024,NL
52541,WABUSH A,"['Hourly', 'Daily']",2014,2024,NL
51057,WABUSH A,"['Hourly', 'Daily']",2013,2024,NL
6760,WESTERN ARM BROOK,"['Daily', 'Monthly']",1981,2016,NL
6939,WHITBOURNE,"['Daily', 'Monthly']",1991,2014,NL
27712,WINTERLAND,"['Hourly', 'Daily', 'Monthly']",1999,2018,NL
54898,WINTERLAND BRANCH HILL,"['Hourly', 'Daily']",2018,2024,NL
45307,WRECKHOUSE,"['Hourly', 'Daily', 'Monthly']",2006,2024,NL
