StationID,Name,Intervals,Year Start,Year End,Province
42967,ALGONQUIN PARK EAST GATE,"['Hourly', 'Daily', 'Monthly']",2004,2024,ON
4607,AMHERSTBURG,"['Daily', 'Monthly']",1988,2024,ON
6901,APPLETON,"['Daily', 'Monthly']",1992,2024,ON
3987,ARMSTRONG (AUT),"['Hourly', 'Daily', 'Monthly']",1953,2024,ON
52900,ARMSTRONG A,"['Hourly', 'Daily']",2015,2024,ON
10220,ATIKOKAN (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2024,ON
52918,ATTAWAPISKAT A,"['Hourly', 'Daily']",2015,2024,ON
44967,BALACLAVA,"['Daily', 'Monthly']",2006,2016,ON
43540,BALDWIN,"['Daily', 'Monthly']",2004,2024,ON
26799,BANCROFT AUTO,"['Hourly', 'Daily', 'Monthly']",1995,2024,ON
50048,BARRIE LANDFILL,['Daily'],2011,2024,ON
42183,BARRIE-ORO,"['Hourly', 'Daily', 'Monthly']",2003,2024,ON
3932,BARWICK,"['Daily', 'Monthly']",1978,2024,ON
44183,BEATRICE CLIMATE,"['Hourly', 'Daily', 'Monthly']",2005,2024,ON
4859,BELLEVILLE,"['Daily', 'Monthly']",1866,2024,ON
55238,BELLEVILLE QUINTE,"['Hourly', 'Daily']",2021,2024,ON
50857,BIG TROUT LAKE,"['Hourly', 'Daily']",2012,2024,ON
49488,BIG TROUT LAKE A,"['Hourly', 'Daily']",2011,2024,ON
31048,BLACKSTOCK,"['Daily', 'Monthly']",2001,2016,ON
4862,BLOOMFIELD,"['Daily', 'Monthly']",1896,2014,ON
4140,BONNER LAKE,"['Daily', 'Monthly']",1990,2024,ON
29516,BORDEN AWOS,"['Hourly', 'Daily']",2005,2022,ON
53378,BRANTFORD AIRPORT,"['Hourly', 'Daily']",2014,2024,ON
47567,BROCKVILLE CLIMATE,"['Hourly', 'Daily']",2008,2024,ON
4236,BROCKVILLE PCC,"['Daily', 'Monthly']",1965,2023,ON
7868,BURLINGTON PIERS (AUT),"['Hourly', 'Daily']",1994,2024,ON
27674,CAMERON FALLS (AUT),"['Hourly', 'Daily', 'Monthly']",2000,2024,ON
7582,CARIBOU ISLAND (AUT),"['Hourly', 'Daily']",1994,2024,ON
55360,CEDAR SPRINGS,"['Hourly', 'Daily']",2022,2024,ON
4898,CENTREVILLE,"['Daily', 'Monthly']",1985,2024,ON
4243,CHALK RIVER AECL,"['Daily', 'Monthly']",1960,2024,ON
53603,CHAPLEAU A,"['Hourly', 'Daily']",2015,2024,ON
4111,CHAPLEAU A,"['Hourly', 'Daily', 'Monthly']",1994,2015,ON
53602,CHAPLEAU A,"['Hourly', 'Daily']",2015,2024,ON
55258,CHAPLEAU AIRPORT,"['Hourly', 'Daily']",2022,2024,ON
52118,CHATHAM KENT,"['Hourly', 'Daily']",2014,2024,ON
4619,CHATHAM WPCP,"['Daily', 'Monthly']",1983,2019,ON
7870,COBOURG (AUT),"['Hourly', 'Daily', 'Monthly']",1993,2024,ON
4905,COBOURG STP,"['Daily', 'Monthly']",1970,2024,ON
43923,COE HILL,"['Daily', 'Monthly']",2005,2018,ON
4432,COLDWATER WARMINSTER,"['Daily', 'Monthly']",1971,2024,ON
10955,COLLINGWOOD,"['Hourly', 'Daily', 'Monthly']",1994,2023,ON
4255,CORNWALL,"['Daily', 'Monthly']",1950,2024,ON
9004,COVE ISLAND (AUT),"['Hourly', 'Daily']",1994,2021,ON
27528,DELHI CS,"['Hourly', 'Daily', 'Monthly']",1999,2024,ON
4750,DORCHESTER,"['Daily', 'Monthly']",1976,2017,ON
4268,DRUMMOND CENTRE,"['Daily', 'Monthly']",1984,2024,ON
48869,DRYDEN REGIONAL,"['Hourly', 'Daily']",2010,2024,ON
4441,DUNCHURCH,"['Daily', 'Monthly']",1973,2014,ON
27865,EAR FALLS (AUT),"['Hourly', 'Daily', 'Monthly']",2000,2024,ON
49489,EARLTON A,"['Hourly', 'Daily']",2011,2024,ON
47687,EARLTON CLIMATE,"['Hourly', 'Daily']",2008,2024,ON
27604,EGBERT CS,"['Hourly', 'Daily', 'Monthly']",2000,2024,ON
41983,ELORA RCS,"['Hourly', 'Daily', 'Monthly']",2003,2024,ON
9006,ERIEAU (AUT),"['Hourly', 'Daily']",1994,2023,ON
4761,FERGUS MOE,"['Daily', 'Monthly']",1962,2024,ON
4760,FERGUS SHAND DAM,"['Daily', 'Monthly']",1939,2024,ON
3997,FLINT,"['Daily', 'Monthly']",1979,2014,ON
4762,FOLDENS,"['Daily', 'Monthly']",1963,2016,ON
4635,FORT ERIE,"['Daily', 'Monthly']",1966,2022,ON
46507,FORT FRANCES RCS,"['Hourly', 'Daily']",2007,2024,ON
51219,FORT SEVERN A,"['Hourly', 'Daily']",2013,2024,ON
4923,GEORGETOWN WWTP,"['Daily', 'Monthly']",1962,2024,ON
54240,GERALDTON A,"['Hourly', 'Daily']",2016,2024,ON
4003,GERALDTON A,"['Hourly', 'Daily', 'Monthly']",1981,2015,ON
53519,GERALDTON A,"['Hourly', 'Daily']",2015,2022,ON
54858,GERALDTON AIRPORT,"['Hourly', 'Daily']",2018,2024,ON
4765,GLEN ALLAN,"['Daily', 'Monthly']",1955,2022,ON
7747,GODERICH,"['Hourly', 'Daily', 'Monthly']",1986,2024,ON
48788,GORE BAY CLIMATE,"['Hourly', 'Daily']",2010,2024,ON
48372,GORE BAY-MANITOULIN,"['Hourly', 'Daily']",2009,2024,ON
7981,GREAT DUCK ISLAND (AUT),"['Hourly', 'Daily']",1994,2021,ON
10903,GRENADIER ISLAND,"['Hourly', 'Daily', 'Monthly']",1994,2024,ON
44123,GRIMSBY MOUNTAIN,"['Daily', 'Monthly']",2005,2024,ON
45407,GUELPH TURFGRASS,"['Hourly', 'Daily', 'Monthly']",2006,2022,ON
55299,GUELPH TURFGRASS INSTITUTE,"['Hourly', 'Daily']",2021,2024,ON
5170,HALIBURTON 3,"['Daily', 'Monthly']",1987,2023,ON
49908,HAMILTON A,"['Hourly', 'Daily']",2011,2024,ON
27529,HAMILTON RBG CS,"['Hourly', 'Daily', 'Monthly']",2000,2024,ON
30266,HARROW CDA AUTO,"['Hourly', 'Daily', 'Monthly']",2000,2024,ON
4287,HARTINGTON IHD,"['Daily', 'Monthly']",1967,2024,ON
54378,HAZELWOOD,['Daily'],2016,2024,ON
44787,JAMESTOWN,"['Daily', 'Monthly']",2006,2015,ON
27612,KALADAR,"['Daily', 'Monthly']",1998,2015,ON
54260,KAPUSKASING A,"['Hourly', 'Daily']",2016,2024,ON
4157,KAPUSKASING A,"['Hourly', 'Daily', 'Monthly']",1953,2014,ON
52604,KAPUSKASING A,"['Hourly', 'Daily']",2014,2024,ON
30435,KAPUSKASING CDA ON,"['Hourly', 'Daily', 'Monthly']",2000,2024,ON
27534,KEMPTVILLE CS,"['Hourly', 'Daily', 'Monthly']",2001,2024,ON
51137,KENORA A,"['Hourly', 'Daily']",2013,2024,ON
47307,KENORA RCS,"['Hourly', 'Daily']",2008,2024,ON
8997,KILLARNEY (AUT),"['Hourly', 'Daily']",1994,2023,ON
4575,KINCARDINE,"['Daily', 'Monthly']",1870,2022,ON
54958,KING CITY NORTH,"['Hourly', 'Daily']",2019,2024,ON
52985,KINGSTON A,"['Hourly', 'Daily']",2014,2024,ON
50428,KINGSTON A,['Hourly'],2012,2024,ON
47267,KINGSTON CLIMATE,"['Hourly', 'Daily']",2008,2024,ON
4647,KINGSVILLE MOE,"['Daily', 'Monthly']",1960,2024,ON
55367,KIRKLAND LAKE,"['Hourly', 'Daily']",2022,2024,ON
27535,KIRKLAND LAKE CS,"['Hourly', 'Daily', 'Monthly']",2001,2022,ON
48569,KITCHENER/WATERLOO,"['Hourly', 'Daily']",2010,2024,ON
10911,LAGOON CITY,"['Hourly', 'Daily', 'Monthly']",1994,2024,ON
51958,LAKE SUPERIOR PROVINCIAL PARK,"['Hourly', 'Daily']",2013,2024,ON
10244,LANSDOWNE HOUSE (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2024,ON
51237,LANSDOWNE HOUSE A,"['Hourly', 'Daily']",2013,2024,ON
43104,LITTLE FLATLAND ISLAND (AUT),"['Hourly', 'Daily']",2005,2024,ON
50093,LONDON A,"['Hourly', 'Daily']",2012,2024,ON
10999,LONDON CS,"['Hourly', 'Daily', 'Monthly']",1994,2024,ON
4789,LONDON INT'L AIRPORT,"['Hourly', 'Daily', 'Monthly']",1953,2012,ON
9026,LONG POINT (AUT),"['Hourly', 'Daily']",1994,2024,ON
4308,LYNDHURST SHAWMERE,"['Daily', 'Monthly']",1976,2021,ON
