StationID,Name,Intervals,Year Start,Year End,Province
54067,AKULIVIK A,['Hourly'],2015,2024,QC
54068,AKULIVIK A,"['Hourly', 'Daily']",2018,2024,QC
10789,AKULIVIK A,['Hourly'],1992,2015,QC
26887,AMQUI,"['Hourly', 'Daily']",1995,2019,QC
5574,ANGERS,"['Daily', 'Monthly']",1962,2023,QC
5310,ARTHABASKA,"['Daily', 'Monthly']",1969,2024,QC
5575,ARUNDEL,"['Daily', 'Monthly']",1963,2024,QC
10855,AUPALUK A,['Hourly'],1992,2015,QC
54038,AUPALUK A,['Hourly'],2015,2024,QC
54058,AUPALUK A,"['Hourly', 'Daily']",2018,2024,QC
5313,AUTEUIL,"['Daily', 'Monthly']",1983,2023,QC
5889,BAGOTVILLE A,"['Hourly', 'Daily', 'Monthly']",1953,2024,QC
55359,BAGOTVILLE AIRPORT,"['Hourly', 'Daily']",2022,2024,QC
26889,BAIE-COMEAU,"['Hourly', 'Daily']",1995,2024,QC
48968,BAIE-COMEAU,"['Hourly', 'Daily']",2010,2024,QC
30173,BAIE-COMEAU A,"['Hourly', 'Daily', 'Monthly']",2004,2024,QC
5977,BARRAGE TEMISCAMINGUE,"['Hourly', 'Daily', 'Monthly']",1997,2024,QC
26777,BEAUCEVILLE,"['Hourly', 'Daily']",1994,2024,QC
27803,BEAUPORT,"['Hourly', 'Daily']",1999,2024,QC
5315,BEAUSEJOUR,"['Daily', 'Monthly']",1975,2023,QC
10874,BONNARD 1,"['Hourly', 'Daily']",1994,2024,QC
5322,BONSECOURS,"['Daily', 'Monthly']",1967,2024,QC
5325,BROME,"['Daily', 'Monthly']",1875,2023,QC
5327,BROMPTONVILLE,"['Daily', 'Monthly']",1957,2024,QC
5779,CAP DES ROSIERS,"['Daily', 'Monthly']",1973,2024,QC
27195,CAP-CHAT,"['Hourly', 'Daily']",1996,2024,QC
9001,CAP-D'ESPOIR,"['Hourly', 'Daily']",1994,2024,QC
8999,CAP-MADELEINE,"['Hourly', 'Daily']",1994,2024,QC
10963,CAP-ROUGE,"['Hourly', 'Daily']",1994,2024,QC
10869,CAP-TOURMENTE,"['Hourly', 'Daily']",1994,2024,QC
5672,CAPE WHITTLE,"['Hourly', 'Daily', 'Monthly']",1994,2024,QC
5785,CAUSAPSCAL,"['Daily', 'Monthly']",1913,2023,QC
54558,CAUSAPSCAL AIRPORT,"['Hourly', 'Daily']",2017,2024,QC
26797,CHAMOUCHOUANE,"['Hourly', 'Daily']",1994,2024,QC
27443,CHAPAIS,"['Hourly', 'Daily']",2001,2024,QC
27442,CHARLEVOIX (MRC),"['Hourly', 'Daily']",1997,2024,QC
8455,CHARLEVOIX A,['Hourly'],1994,2018,QC
5584,CHARTERIS,"['Daily', 'Monthly']",1980,2024,QC
5674,CHATEAU RICHER,"['Daily', 'Monthly']",1980,2023,QC
5585,CHELSEA,"['Daily', 'Monthly']",1927,2024,QC
5586,CHENEVILLE,"['Daily', 'Monthly']",1964,2024,QC
8456,CHEVERY,"['Hourly', 'Daily']",1994,2024,QC
53019,CHIBOUGAMAU CHAPAIS A,"['Hourly', 'Daily']",2014,2024,QC
6029,CHIBOUGAMAU CHAPAIS A,"['Hourly', 'Daily', 'Monthly']",1982,2014,QC
52603,CHIBOUGAMAU CHAPAIS A,['Hourly'],2014,2016,QC
54599,CHIBOUGAMAU-CHAPAIS,"['Hourly', 'Daily']",2017,2024,QC
